Model,Accuracy,F1,AUC,Fold,Scenario
KNN,0.7407407407407407,0.631578947368421,0.8681318681318682,16,A_Baseline
KNN,0.7777777777777778,0.7692307692307693,0.7527472527472527,16,B_Fidelity
KNN,0.8518518518518519,0.8181818181818182,0.9010989010989011,16,C_Scale
KNN,0.7407407407407407,0.631578947368421,0.9450549450549451,16,D_Augment_0.5
KNN,0.8148148148148148,0.7619047619047619,0.8434065934065934,16,D_Augment_1.0
KNN,0.7037037037037037,0.6363636363636364,0.8324175824175823,16,D_Augment_2.0
KNN,0.7777777777777778,0.7272727272727273,0.7857142857142858,16,D_Augment_4.0
LR,0.8148148148148148,0.7619047619047619,0.9505494505494505,16,A_Baseline
LR,0.7777777777777778,0.7272727272727273,0.8516483516483517,16,B_Fidelity
LR,0.8148148148148148,0.7619047619047619,0.9835164835164835,16,C_Scale
LR,0.8148148148148148,0.7619047619047619,0.9285714285714286,16,D_Augment_0.5
LR,0.7777777777777778,0.7,0.8901098901098901,16,D_Augment_1.0
LR,0.7777777777777778,0.7272727272727273,0.9285714285714286,16,D_Augment_2.0
LR,0.7037037037037037,0.5555555555555556,0.8846153846153846,16,D_Augment_4.0
RF,0.7777777777777778,0.7692307692307693,0.8351648351648352,17,A_Baseline
RF,0.7777777777777778,0.7692307692307693,0.7747252747252747,17,B_Fidelity
RF,0.7777777777777778,0.7692307692307693,0.8846153846153846,17,C_Scale
RF,0.7777777777777778,0.7857142857142857,0.8159340659340659,17,D_Augment_0.5
RF,0.7777777777777778,0.7692307692307693,0.8791208791208791,17,D_Augment_1.0
RF,0.8518518518518519,0.8461538461538461,0.8983516483516484,17,D_Augment_2.0
RF,0.7407407407407407,0.7586206896551724,0.8626373626373627,17,D_Augment_4.0
XGB,0.7777777777777778,0.7692307692307693,0.8131868131868132,17,A_Baseline
XGB,0.6666666666666666,0.6666666666666666,0.7857142857142858,17,B_Fidelity
XGB,0.7407407407407407,0.72,0.8076923076923077,17,C_Scale
XGB,0.7777777777777778,0.7692307692307693,0.8296703296703297,17,D_Augment_0.5
XGB,0.7777777777777778,0.7692307692307693,0.7994505494505495,17,D_Augment_1.0
XGB,0.7037037037037037,0.6666666666666666,0.782967032967033,17,D_Augment_2.0
XGB,0.8148148148148148,0.8275862068965517,0.8736263736263736,17,D_Augment_4.0
KNN,0.8148148148148148,0.8,0.8791208791208792,17,A_Baseline
KNN,0.6296296296296297,0.6875,0.6648351648351649,17,B_Fidelity
KNN,0.6296296296296297,0.6153846153846154,0.7142857142857143,17,C_Scale
KNN,0.7407407407407407,0.7407407407407407,0.7527472527472527,17,D_Augment_0.5
KNN,0.7777777777777778,0.75,0.8269230769230769,17,D_Augment_1.0
